text,emotion,severity,intent,context,response
Lately family my has been causing me anxiety,anxiety,high,information,family,Consider talking to someone you trust.
I feel high levels of anger recently,anger,high,help,study,"You are not alone, and it's okay to seek help."
My situation work is making me feel neutral,neutral,medium,help,work,"You are not alone, and it's okay to seek help."
Everything feels overwhelming in my social,stress,high,information,social,It might help to take a break and relax.
I am dealing stress with and it is getting medium,anxiety,medium,information,health,Consider talking to someone you trust.
I feel neutral because of my social,neutral,medium,help,social,Try taking small steps to manage your situation.
Sometimes I feel neutral without any reason,neutral,medium,vent,work,"You are not alone, and it's okay to seek help."
I feel low levels neutral recently,neutral,low,crisis,health,"You are not alone, and it's okay to seek help."
I am dealing with stress and it is low,anxiety,low,crisis,family,Seeking professional support could be beneficial.
I am dealing with anger and it is getting low,anger,low,general,social,Try taking small steps to manage your situation.
I feel of levels anxiety recently,anxiety,low,vent,study,"You are not alone, and it's okay to seek help."
My family situation is making me feel stress,anxiety,medium,information,family,Seeking professional support could be beneficial.
My social situation is making me feel anger,anger,high,crisis,social,Seeking professional support could be beneficial.
I am with stress and it is getting low,stress,low,general,social,Try taking small steps to manage your situation.
I am dealing with anger and it is getting medium,anger,medium,general,study,Try taking small steps to manage your situation.
Sometimes I feel anxiety without any reason,anxiety,medium,help,study,Consider talking to someone you trust.
Lately my family has been me causing stress,stress,low,general,family,"You are not alone, and it's okay to seek help."
I don't know how to handle this anger anymore,anger,low,help,work,Consider talking to someone you trust.
I feel medium levels of recently,neutral,medium,help,social,"You are not alone, and it's okay to seek help."
I know don't how to handle this neutral anymore,neutral,high,information,work,It might help to take a break and relax.
I am dealing with neutral and it is getting high,neutral,high,help,work,It might help to take a break and relax.
I don't know how to handle anxiety this anymore,anxiety,high,help,health,Seeking professional support could be beneficial.
I don't know how to handle this neutral anymore,neutral,high,crisis,health,Consider talking to someone you trust.
I am dealing with sadness and it is getting high,sadness,high,help,family,"You are not alone, and it's okay to seek help."
My situation study is making me feel stress,stress,medium,information,study,"You are not alone, and it's okay to seek help."
Lately my has been causing me stress,stress,high,vent,study,Consider talking to someone you trust.
I feel anxiety because of family my,anxiety,medium,crisis,family,Consider talking to someone you trust.
I am dealing with anger and it is getting high,anger,high,information,work,"You are not alone, and it's okay to seek help."
I feel neutral because my of health,neutral,high,help,health,It sounds like you're going through something difficult.
My study situation is making me feel sadness,sadness,low,general,study,Consider talking to someone you trust.
I feel downness because of my study,sadness,high,information,study,Consider talking to someone you trust.
My health situation is making feel me sadness,sadness,high,vent,health,"You are not alone, and it's okay to seek help."
I feel sadness because of my family,sadness,low,vent,family,It sounds like you're going through something difficult.
I am dealing with anger and it is getting low,anger,low,general,study,It sounds like you're going through something difficult.
I feel anxiety because of my social,anxiety,medium,vent,social,Seeking professional support could be beneficial.
Everything feels overwhelming in my study,neutral,low,help,study,Try taking small steps to manage your situation.
I am dealing anxiety and it is getting low,anxiety,high,vent,work,It might help to take a break and relax.
Everything feels overwhelming my in social,sadness,low,general,social,Consider talking to someone you trust.
My study situation is making me feel sadness,sadness,medium,information,study,It might help to take a break and relax.
I am dealing with sadness and it is getting low,sadness,low,general,health,"You are not alone, and it's okay to seek help."
Lately my social has been causing me neutral,neutral,medium,information,social,Seeking professional support could be beneficial.
family My situation is making me feel stress,stress,low,information,family,"You are not alone, and it's okay to seek help."
I feel low levels of neutral recently,neutral,low,crisis,family,It sounds like you're going through something difficult.
My work situation is making me feel stress,anxiety,low,help,work,Consider talking to someone you trust.
I feel high levels anxiety recently,anxiety,high,vent,health,It might help to take a break and relax.
My health situation is making me feel stress,stress,high,information,health,It might help to take a break and relax.
Lately my social has been causing me neutral,neutral,high,vent,social,It sounds like you're going through something difficult.
I feel medium levels of anxiety recently,anxiety,medium,general,study,Seeking professional support could be beneficial.
I don't how to handle this stress anymore,stress,medium,information,social,Try taking small steps to manage your situation.
I don't know how to handle this neutral anymore,neutral,high,vent,study,Try taking small steps to manage your situation.
Lately my has health been causing me stress,stress,medium,general,health,Try taking small steps to manage your situation.
I feel levels high of stress recently,anxiety,high,information,health,Consider talking to someone you trust.
I feel low levels of sadness recently,sadness,medium,information,health,Consider talking to someone you trust.
feel I high levels of anxiety recently,anxiety,medium,general,work,It sounds like you're going through something difficult.
I feel sadness because of my health,sadness,low,help,health,"You are not alone, and it's okay to seek help."
I am dealing with anger and it is getting medium,anger,medium,help,study,"You are not alone, and it's okay to seek help."
My work situation is making me stress feel,stress,low,vent,work,Try taking small steps to manage your situation.
I high feel levels of anger recently,anger,high,help,health,It might help to take a break and relax.
I dealing am with anger and it is getting high,anger,high,general,health,Seeking professional support could be beneficial.
I don't know how to handle this anger anymore,anger,medium,vent,work,It sounds like you're going through something difficult.
am I dealing with stress and it is getting low,anxiety,low,help,work,Consider talking to someone you trust.
I am dealing with unhappyness and it is getting medium,sadness,medium,help,health,Seeking professional support could be beneficial.
I feel high levels of sadness recently,sadness,high,general,social,It might help to take a break and relax.
I am dealing with anger and it is getting low,anger,low,general,study,Consider talking to someone you trust.
I am dealing with anger and it is high,anger,high,help,social,It sounds like you're going through something difficult.
My social situation is making me feel neutral,neutral,low,vent,social,It might help to take a break and relax.
Sometimes I feel sadness without any reason,sadness,medium,vent,health,"You are not alone, and it's okay to seek help."
I am dealing with sadness and it is getting low,sadness,low,help,social,"You are not alone, and it's okay to seek help."
I don't know how to handle this stress anymore,stress,high,vent,family,It might help to take a break and relax.
I am dealing with stress and is it getting,stress,high,crisis,study,Seeking professional support could be beneficial.
I am dealing with anger and it is getting medium,anger,medium,help,family,It sounds like you're going through something difficult.
Everything feels overwhelming in my work,anger,low,general,work,Consider talking to someone you trust.
I am dealing with anxiety and it is getting high,anxiety,high,help,social,Try taking small steps to manage your situation.
I feel sadness because of my health,sadness,low,vent,health,Seeking professional support could be beneficial.
My work situation is making feel anxiety,anxiety,low,crisis,work,"You are not alone, and it's okay to seek help."
Everything feels overwhelming in my health,anxiety,medium,crisis,health,"You are not alone, and it's okay to seek help."
I am dealing with and sadness it is getting low,sadness,low,vent,social,It sounds like you're going through something difficult.
I feel sadness because of my work,sadness,high,general,work,"You are not alone, and it's okay to seek help."
I feel medium levels of recently,anxiety,medium,help,work,Try taking small steps to manage your situation.
feel anger because of my study,anger,low,information,study,It might help to take a break and relax.
I don't know how to handle this anxiety anymore,anxiety,low,crisis,health,Try taking small steps to manage your situation.
Lately my work has been causing me anger,anger,low,general,work,Consider talking to someone you trust.
I don't know to how handle this sadness anymore,sadness,medium,information,social,Seeking professional support could be beneficial.
My family situation is making me feel stress,stress,low,vent,family,"You are not alone, and it's okay to seek help."
Lately my social has been me causing sadness,sadness,high,help,social,It sounds like you're going through something difficult.
I don't know how to handle this neutral anymore,neutral,medium,vent,work,"You are not alone, and it's okay to seek help."
I don't know how to handle this anger anymore,anger,high,general,study,"You are not alone, and it's okay to seek help."
Everything feels overwhelming my health,sadness,high,information,health,"You are not alone, and it's okay to seek help."
Lately my family has been causing me anger,anger,high,general,family,"You are not alone, and it's okay to seek help."
don't how know to handle this stress anymore,anxiety,high,information,social,It sounds like you're going through something difficult.
My health situation is making me feel neutral,neutral,low,vent,health,It sounds like you're going through something difficult.
My social situation is making me feel anger,anger,high,information,social,Consider talking to someone you trust.
I feel low levels sadness of recently,sadness,low,general,social,Consider talking to someone you trust.
My study situation is making me feel anger,anger,low,information,study,Consider talking to someone you trust.
I am dealing with sadness and it getting is medium,sadness,medium,general,family,It might help to take a break and relax.
I don't know how to handle this neutral anymore,neutral,high,general,family,Consider talking to someone you trust.
Everything feels overwhelming in my study,neutral,high,help,study,Consider talking to someone you trust.
I feel anger because of my study,anger,high,vent,study,It sounds like you're going through something difficult.
Everything feels overwhelming in my family,neutral,high,crisis,family,"You are not alone, and it's okay to seek help."
I feel neutral because my of social,neutral,low,information,social,Consider talking to someone you trust.
Everything feels overwhelming in health my,anxiety,medium,help,health,Consider talking to someone you trust.
I feel low levels neutral recently,neutral,low,general,study,Consider talking to someone you trust.
My work situation is making me feel anger,anger,high,vent,work,Consider talking to someone you trust.
Lately my health has been causing unhappyness me,sadness,low,crisis,health,"You are not alone, and it's okay to seek help."
I am dealing with stress and is getting medium,anxiety,medium,vent,social,"You are not alone, and it's okay to seek help."
Everything overwhelming in my family,anger,high,information,family,Try taking small steps to manage your situation.
Everything feels overwhelming my in family,anger,high,vent,family,Consider talking to someone you trust.
I don't know how to handle this neutral anymore,neutral,medium,vent,health,Seeking professional support could be beneficial.
am dealing with neutral and it is getting low,neutral,low,crisis,family,Consider talking to someone you trust.
My social situation is making me feel neutral,neutral,medium,crisis,social,It might help to take a break and relax.
Lately my health has been causing me stress,stress,medium,crisis,health,It sounds like you're going through something difficult.
I feel sadness because of my family,sadness,medium,crisis,family,"You are not alone, and it's okay to seek help."
I feel sadness because of my health,sadness,medium,help,health,It might help to take a break and relax.
I feel high levels of sadness recently,sadness,high,information,study,Consider talking to someone you trust.
Sometimes I feel sadness without any reason,sadness,low,vent,health,Seeking professional support could be beneficial.
Lately my family has been causing me unhappyness,sadness,high,general,family,It sounds like you're going through something difficult.
I don't know how handle to this anger anymore,anger,high,help,work,Consider talking to someone you trust.
My social situation is making me feel anger,anger,high,information,social,"You are not alone, and it's okay to seek help."
Sometimes I sadness without reason any,sadness,high,information,health,Consider talking to someone you trust.
Everything feels overwhelming in my family,anger,high,general,family,Try taking small steps to manage your situation.
I feel because of health my,neutral,low,information,health,It might help to take a break and relax.
I am dealing with anger and it is getting high,anger,high,information,social,"You are not alone, and it's okay to seek help."
I am dealing with neutral and it is getting high,neutral,high,crisis,study,It sounds like you're going through something difficult.
I sadness feel because of my work,sadness,low,crisis,work,It might help to take a break and relax.
My health situation is making me stress,stress,medium,vent,health,It sounds like you're going through something difficult.
Everything feels overwhelming in my family,anger,high,information,family,Seeking professional support could be beneficial.
I am dealing with anger and it getting is medium,anger,medium,help,study,Try taking small steps to manage your situation.
I feel stress of because family,stress,low,vent,family,Try taking small steps to manage your situation.
am I dealing with anxiety and it is getting medium,anxiety,medium,crisis,study,Consider talking to someone you trust.
My health situation is making me feel sadness,sadness,medium,vent,health,Seeking professional support could be beneficial.
My family situation is making me feel stress,stress,high,help,family,"You are not alone, and it's okay to seek help."
I feel medium levels anxiety of recently,anxiety,medium,crisis,social,It sounds like you're going through something difficult.
I don't know how to handle this neutral anymore,neutral,low,help,health,"You are not alone, and it's okay to seek help."
social My situation is making me feel anxiety,anxiety,low,information,social,It sounds like you're going through something difficult.
I am dealing with neutral and it getting is medium,neutral,low,general,health,"You are not alone, and it's okay to seek help."
I am dealing with unhappyness and it is getting low,sadness,low,general,family,Try taking small steps to manage your situation.
I am dealing with neutral and it getting is high,neutral,high,information,study,Consider talking to someone you trust.
Lately my health has been causing me unhappyness,sadness,high,crisis,health,It might help to take a break and relax.
I feel anger because of my social,anger,high,information,social,Consider talking to someone you trust.
I feel levels low of stress recently,stress,low,information,study,It might help to take a break and relax.
Sometimes I stress feel without any reason,stress,low,information,social,Try taking small steps to manage your situation.
I don't know how to this anymore stress,stress,medium,help,study,It might help to take a break and relax.
My situation is making me feel stress,anxiety,high,help,family,It sounds like you're going through something difficult.
I don't know how to handle this nervous anymore,anxiety,high,vent,work,Seeking professional support could be beneficial.
Lately my social has been causing me stress,anxiety,high,help,social,"You are not alone, and it's okay to seek help."
I don't know how to handle this anymore neutral,neutral,low,general,family,Try taking small steps to manage your situation.
Everything feels overwhelming in my study,stress,medium,vent,study,Try taking small steps to manage your situation.
I feel neutral because of my study,neutral,high,information,study,Seeking professional support could be beneficial.
I feel low levels of stress recently,stress,low,help,family,Try taking small steps to manage your situation.
I don't know how to handle this anger anymore,anger,high,information,health,Try taking small steps to manage your situation.
I Sometimes feel without any reason,anger,low,general,health,It might help to take a break and relax.
I feel low levels of anger recently,anger,low,help,social,Seeking professional support could be beneficial.
I feel sadness because of my work,sadness,high,crisis,work,Try taking small steps to manage your situation.
I feel low of levels stress recently,anxiety,low,general,social,"You are not alone, and it's okay to seek help."
My family situation making me neutral feel,neutral,low,information,family,It sounds like you're going through something difficult.
Lately my family has been causing me downness,sadness,low,crisis,family,Consider talking to someone you trust.
I don't know how to handle this neutral anymore,neutral,low,vent,family,Seeking professional support could be beneficial.
I feel low levels of anger recently,anger,low,general,family,Try taking small steps to manage your situation.
I am dealing with anxiety and it is getting high,anxiety,high,crisis,study,Consider talking to someone you trust.
My health situation is making me feel stress,stress,medium,vent,health,Consider talking to someone you trust.
I am dealing with sadness and it is getting medium,sadness,medium,vent,health,It might help to take a break and relax.
I feel low of levels neutral recently,neutral,low,information,study,Try taking small steps to manage your situation.
I don't know how to handle this anger anymore,anger,low,crisis,work,It sounds like you're going through something difficult.
I feel stress because of my health,stress,medium,crisis,health,Try taking small steps to manage your situation.
I feel low levels of anger recently,anger,low,information,social,Try taking small steps to manage your situation.
